Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-01-27 06:15:00,100261.03,100261.03,99736.12,99980.01,864.31854,2025-01-27 06:29:59.999,86364504.8641981,79344,404.1104,40368795.4363824,0
2025-01-27 06:30:00,99980.02,99980.02,99010.09,99110.0,1258.52716,2025-01-27 06:44:59.999,125104121.8621256,140752,491.78608,48877979.9715431,0
2025-01-27 06:45:00,99110.0,99398.11,98721.0,98956.32,1249.89856,2025-01-27 06:59:59.999,123785705.7885031,145142,519.55273,51462086.5416734,0
2025-01-27 07:00:00,98956.31,99239.0,98846.15,98977.21,499.70542,2025-01-27 07:14:59.999,49502502.1024417,101548,253.04952,25067927.6479928,0
2025-01-27 07:15:00,98977.21,99045.29,97777.77,97808.1,1678.46695,2025-01-27 07:29:59.999,165088319.4895719,219809,560.96415,55183305.0720247,0
2025-01-27 07:30:00,97808.1,99232.26,97792.0,99158.54,1431.67678,2025-01-27 07:44:59.999,140987167.7915292,137869,823.6764,81123381.1213149,0
2025-01-27 07:45:00,99158.55,99415.92,98900.0,99048.02,569.3689,2025-01-27 07:59:59.999,56454768.8208495,62056,280.15498,27781098.3196639,0
2025-01-27 08:00:00,99048.01,99208.54,98700.0,99150.63,546.32872,2025-01-27 08:14:59.999,54068751.9704779,101519,254.63418,25198926.3047349,0
2025-01-27 08:15:00,99150.64,99367.73,98885.66,99143.5,504.03514,2025-01-27 08:29:59.999,49988764.876581,83343,252.10395,25005375.9988467,0
2025-01-27 08:30:00,99143.5,99143.5,98700.0,98819.72,435.75402,2025-01-27 08:44:59.999,43100780.1505457,82960,219.68712,21733303.1466535,0
2025-01-27 08:45:00,98819.71,99068.88,98757.6,99043.77,354.36963,2025-01-27 08:59:59.999,35065336.1240404,83390,175.36837,17354441.9552098,0
2025-01-27 09:00:00,99043.78,99486.14,98942.85,99300.46,466.25032,2025-01-27 09:14:59.999,46284622.9035481,87029,243.48618,24168223.4056377,0
2025-01-27 09:15:00,99300.45,99533.33,98806.0,98817.7,391.19462,2025-01-27 09:29:59.999,38788992.870418,69984,159.00969,15770403.5000118,0
2025-01-27 09:30:00,98817.71,99362.31,98800.0,99166.37,351.51489,2025-01-27 09:44:59.999,34843084.1098042,81846,222.13876,22018662.9355386,0
2025-01-27 09:45:00,99166.37,99436.11,99092.0,99424.38,360.90597,2025-01-27 09:59:59.999,35829974.0555811,61911,203.01289,20155140.1659497,0
2025-01-27 10:00:00,99424.37,99454.76,99128.01,99144.51,253.60134,2025-01-27 10:14:59.999,25180316.7790445,77062,99.52771,9881719.1602087,0
2025-01-27 10:15:00,99144.51,99322.59,98962.51,99108.01,278.77852,2025-01-27 10:29:59.999,27634941.0498307,73778,123.31982,12225082.5644889,0
2025-01-27 10:30:00,99108.01,99153.99,98624.01,98786.15,614.70135,2025-01-27 10:44:59.999,60733135.3332413,103602,219.95958,21734646.1950016,0
2025-01-27 10:45:00,98786.16,99050.0,98263.49,98392.74,646.5964,2025-01-27 10:59:59.999,63727083.1251627,123645,282.54774,27847996.2053586,0
2025-01-27 11:00:00,98392.74,98936.0,98324.01,98712.79,630.95401,2025-01-27 11:14:59.999,62258363.6769649,115192,305.62012,30155016.4607333,0
2025-01-27 11:15:00,98712.8,99131.42,98600.0,99057.06,441.51411,2025-01-27 11:29:59.999,43711562.940711,85405,268.50264,26582367.3878161,0
2025-01-27 11:30:00,99057.05,99362.03,98894.84,98962.36,298.86777,2025-01-27 11:44:59.999,29619453.2702326,54029,167.90942,16642830.140112,0
2025-01-27 11:45:00,98962.35,99053.38,98761.12,98761.13,215.02238,2025-01-27 11:59:59.999,21275093.2075995,56045,91.67575,9071617.3340907,0
2025-01-27 12:00:00,98761.12,99250.0,98714.28,99037.03,324.71279,2025-01-27 12:14:59.999,32151613.4730525,81294,149.20312,14769635.9729565,0
2025-01-27 12:15:00,99037.03,99163.48,98917.01,99098.01,221.94587,2025-01-27 12:29:59.999,21985066.3469682,64280,102.44121,10147841.0135146,0
2025-01-27 12:30:00,99098.0,99768.56,99016.16,99761.99,416.07764,2025-01-27 12:44:59.999,41362667.1607142,83599,250.72964,24929079.3750455,0
2025-01-27 12:45:00,99761.99,100910.27,99646.01,100619.68,1202.12817,2025-01-27 12:59:59.999,120518867.419737,165062,708.18677,70999840.3069979,0
2025-01-27 13:00:00,100619.68,101650.01,100316.44,101628.22,1248.48637,2025-01-27 13:14:59.999,126173343.3321372,183575,661.05972,66827500.127233,0
2025-01-27 13:15:00,101628.21,101666.66,100617.83,100882.99,1140.23927,2025-01-27 13:29:59.999,115320304.5917986,174089,611.9447,61901657.6982868,0
2025-01-27 13:30:00,100882.99,101244.63,100696.0,100842.53,537.39857,2025-01-27 13:44:59.999,54282734.9491844,132003,218.51604,22071233.4083171,0
2025-01-27 13:45:00,100842.53,100959.46,100000.0,100483.99,809.57374,2025-01-27 13:59:59.999,81317320.1294258,169234,337.57429,33907852.4711699,0
2025-01-27 14:00:00,100483.98,100588.2,100105.54,100139.96,312.81249,2025-01-27 14:14:59.999,31402329.4039268,109529,113.51972,11398367.8984317,0
2025-01-27 14:15:00,100139.95,100830.9,100139.95,100765.4,311.42128,2025-01-27 14:29:59.999,31323829.9020742,99446,172.54546,17357125.0699509,0
